,Pokemon,DPS,TDO,Battle_Stat,Max_CP_Lv40,Fast_Move,Charged_Move,#,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
54,Ash Greninja,20.826,469.3,4238.9,3984,Feint Attack,Surf,,,,,,,,,,,,
55,Audino,8.144,246.5,133.1,1682,Pound,Hyper Beam,531.0,Normal,,445.0,103.0,60.0,86.0,60.0,86.0,50.0,5.0,False
56,Aurorus,12.998,449.6,987.2,2802,Rock Throw,Weather Ball Ice,699.0,Rock,Ice,521.0,123.0,77.0,72.0,99.0,92.0,58.0,6.0,False
57,Avalugg,12.584,514.4,1025.0,3198,Ice Fang,Avalanche,713.0,Ice,,514.0,95.0,117.0,184.0,44.0,46.0,28.0,6.0,False
58,Axew,9.733,113.6,104.8,1368,Scratch,Dragon Claw,610.0,Dragon,,320.0,46.0,87.0,60.0,30.0,40.0,57.0,5.0,False
59,Azelf,16.275,367.5,1584.3,3210,Confusion,Future Sight,482.0,Psychic,,580.0,75.0,125.0,70.0,125.0,70.0,115.0,4.0,True
60,Azumarill,7.877,219.1,107.1,1588,Bubble,Play Rough,184.0,Water,Fairy,420.0,100.0,50.0,80.0,60.0,80.0,50.0,2.0,False
61,Azurill,3.063,27.8,0.8,364,Bubble,Body Slam,298.0,Normal,Fairy,190.0,50.0,20.0,40.0,20.0,40.0,20.0,3.0,False
62,Bagon,8.284,88.8,50.5,1156,Bite,Return,371.0,Dragon,,300.0,45.0,75.0,60.0,40.0,30.0,50.0,3.0,False
63,Baltoy,4.92,64.1,7.6,787,Confusion,Dig,343.0,Ground,Psychic,300.0,40.0,40.0,55.0,40.0,70.0,55.0,3.0,False
64,Banette,15.513,268.7,1002.9,2298,Shadow Claw,Shadow Ball,354.0,Ghost,,455.0,64.0,115.0,65.0,83.0,63.0,65.0,3.0,False
65,Barbaracle,11.523,336.0,514.1,2675,Water Gun,Grass Knot,689.0,Rock,Water,500.0,72.0,105.0,115.0,54.0,86.0,68.0,6.0,False
66,Barboach,6.497,66.5,18.2,819,Water Gun,Aqua Tail,339.0,Water,Ground,288.0,50.0,48.0,43.0,46.0,41.0,60.0,3.0,False
67,Barraskewda,13.758,231.8,603.7,2656,Waterfall,Close Combat,,,,,,,,,,,,
68,Basculin,11.36,212.3,311.3,2090,Water Gun,Aqua Tail,550.0,Water,,460.0,70.0,92.0,65.0,80.0,55.0,98.0,5.0,False
69,Bastiodon,6.081,216.0,48.6,1539,Iron Tail,Stone Edge,411.0,Rock,Steel,495.0,60.0,52.0,168.0,47.0,138.0,30.0,4.0,False
70,Bayleef,8.661,173.7,112.8,1454,Razor Leaf,Grass Knot,153.0,Grass,,405.0,60.0,62.0,80.0,63.0,80.0,60.0,2.0,False
71,Beartic,12.96,347.0,755.2,3042,Charm,Ice Punch,614.0,Ice,,485.0,95.0,110.0,80.0,70.0,80.0,50.0,5.0,False
72,Beautifly,12.114,161.5,287.0,1765,Infestation,Bug Buzz,267.0,Bug,Flying,395.0,60.0,70.0,50.0,100.0,50.0,65.0,3.0,False
73,Beedrill,11.873,212.7,356.0,1846,Bug Bite,Sludge Bomb,15.0,Bug,Poison,395.0,65.0,90.0,40.0,45.0,80.0,75.0,1.0,False
74,Beheeyem,14.666,355.1,1120.2,2753,Confusion,Psychic,606.0,Psychic,,485.0,75.0,75.0,75.0,125.0,95.0,40.0,5.0,False
75,Beldum,4.581,63.1,6.1,976,Take Down,Return,374.0,Steel,Psychic,300.0,40.0,55.0,80.0,35.0,60.0,30.0,3.0,False
76,Bellossom,11.328,309.7,450.2,2281,Razor Leaf,Leaf Blade,182.0,Grass,,490.0,75.0,80.0,95.0,90.0,100.0,50.0,2.0,False
77,Bellsprout,10.867,87.1,111.8,1033,Vine Whip,Power Whip,69.0,Grass,Poison,300.0,50.0,75.0,35.0,70.0,30.0,40.0,1.0,False
78,Bergmite,6.348,95.8,24.5,1215,Bite,Icy Wind,712.0,Ice,,304.0,55.0,69.0,85.0,32.0,35.0,28.0,6.0,False
79,Bewear,13.994,416.6,1141.6,3117,Tackle,Superpower,,,,,,,,,,,,
80,Bibarel,11.042,208.4,280.6,1823,Water Gun,Return,400.0,Normal,Water,410.0,79.0,85.0,60.0,55.0,60.0,71.0,4.0,False
81,Bidoof,6.623,68.0,19.7,721,Tackle,Return,399.0,Normal,,250.0,59.0,45.0,40.0,35.0,40.0,31.0,4.0,False
82,Binacle,5.795,74.9,14.6,946,Scratch,Ancient Power,688.0,Rock,Water,306.0,42.0,52.0,67.0,39.0,56.0,50.0,6.0,False
83,Bisharp,13.932,328.7,888.8,2844,Snarl,Dark Pulse,625.0,Dark,Steel,490.0,65.0,125.0,100.0,60.0,70.0,70.0,5.0,False
84,Bisharp,13.932,328.7,888.8,2844,Snarl,Iron Head,625.0,Dark,Steel,490.0,65.0,125.0,100.0,60.0,70.0,70.0,5.0,False
85,Black Kyurem,20.266,724.0,6026.4,4605,Dragon Tail,Outrage,646.0,Dragon,Ice,700.0,125.0,170.0,100.0,120.0,90.0,95.0,5.0,True
86,Blastoise,12.903,403.5,867.0,2466,Water Gun,Hydro Cannon,9.0,Water,,530.0,79.0,83.0,100.0,85.0,105.0,78.0,1.0,False
87,Blaziken,17.505,388.5,2083.8,2848,Counter,Blast Burn,257.0,Fire,Fighting,530.0,80.0,120.0,70.0,110.0,70.0,80.0,3.0,False
88,Blissey,9.258,604.1,479.4,2757,Pound,Hyper Beam,242.0,Normal,,540.0,255.0,10.0,10.0,75.0,135.0,55.0,2.0,False
89,Blitzle,8.419,66.0,39.4,882,Spark,Thunderbolt,522.0,Electric,,295.0,45.0,60.0,32.0,50.0,32.0,76.0,5.0,False
90,Boldore,11.013,225.8,301.7,2029,Smack Down,Rock Slide,525.0,Rock,,390.0,70.0,105.0,105.0,50.0,40.0,20.0,5.0,False
91,Boltund,10.915,204.6,266.0,2176,Spark,Thunder,,,,,,,,,,,,
92,Bonsly,8.412,131.3,78.2,1302,Rock Throw,Rock Slide,438.0,Rock,,290.0,50.0,80.0,95.0,10.0,45.0,10.0,4.0,False
93,Bouffalant,10.964,346.3,456.4,2797,Mud Shot,Skull Bash,626.0,Normal,,490.0,95.0,110.0,95.0,40.0,95.0,55.0,5.0,False
94,Bounsweet,4.084,32.9,2.2,470,Razor Leaf,Energy Ball,,,,,,,,,,,,
95,Braixen,10.377,175.4,196.0,1813,Ember,Flamethrower,654.0,Fire,,409.0,59.0,59.0,58.0,90.0,70.0,73.0,6.0,False
96,Braviary,15.027,418.0,1418.3,3088,Air Slash,Brave Bird,628.0,Normal,Flying,510.0,100.0,123.0,75.0,57.0,75.0,80.0,5.0,False
97,Breloom,16.803,315.2,1495.3,2628,Counter,Grass Knot,286.0,Grass,Fighting,460.0,60.0,130.0,80.0,60.0,60.0,70.0,3.0,False
98,Brionne,9.067,171.1,127.5,1885,Water Gun,Water Pulse,,,,,,,,,,,,
99,Bronzong,10.822,311.6,395.0,2239,Confusion,Psychic,437.0,Steel,Psychic,500.0,67.0,89.0,116.0,79.0,116.0,33.0,4.0,False
100,Bronzor,3.681,70.8,3.5,603,Tackle,Heavy Slam,436.0,Steel,Psychic,300.0,57.0,24.0,86.0,24.0,86.0,23.0,4.0,False
101,Bruxish,12.567,256.7,509.5,2389,Confusion,Aqua Tail,,,,,,,,,,,,
102,Budew,6.842,79.5,25.5,856,Razor Leaf,Grass Knot,406.0,Grass,Poison,280.0,40.0,30.0,35.0,50.0,70.0,55.0,4.0,False
103,Buizel,7.712,70.7,32.4,1054,Water Gun,Water Pulse,418.0,Water,,330.0,55.0,65.0,35.0,60.0,30.0,85.0,4.0,False
104,Bulbasaur,8.963,112.1,80.7,1115,Vine Whip,Power Whip,1.0,Grass,Poison,318.0,45.0,49.0,49.0,65.0,65.0,45.0,1.0,False
105,Buneary,7.619,102.1,45.2,1258,Pound,Fire Punch,427.0,Normal,,350.0,55.0,66.0,44.0,44.0,56.0,85.0,4.0,False
106,Bunnelby,4.389,34.7,2.9,553,Quick Attack,Earthquake,659.0,Normal,,237.0,38.0,36.0,38.0,32.0,36.0,57.0,6.0,False
107,Burmy,2.8,25.7,0.6,488,Tackle,Struggle,412.0,Bug,,224.0,40.0,29.0,45.0,29.0,45.0,36.0,4.0,False
108,Butterfree,11.019,197.6,264.4,1827,Bug Bite,Bug Buzz,12.0,Bug,Flying,395.0,60.0,45.0,50.0,90.0,80.0,70.0,1.0,False
109,Buzzwole,14.992,509.5,1716.8,3469,Counter,Superpower,,,,,,,,,,,,
110,Cacnea,11.089,104.1,141.9,1242,Sucker Punch,Grass Knot,331.0,Grass,,335.0,50.0,85.0,40.0,85.0,40.0,35.0,3.0,False
111,Cacturne,15.38,259.5,944.1,2298,Sucker Punch,Grass Knot,332.0,Grass,Dark,475.0,70.0,115.0,60.0,115.0,60.0,55.0,3.0,False
112,Calyrex,11.16,329.0,457.3,2278,Confusion,Psychic,,,,,,,,,,,,
113,Calyrex - Ice Rider,17.476,696.4,3716.6,4235,Confusion,Avalanche,,,,,,,,,,,,
114,Calyrex - Shadow Rider,21.715,692.9,7094.8,4540,Confusion,Shadow Ball,,,,,,,,,,,,
115,Camerupt,12.433,243.6,468.3,2193,Incinerate,Earth Power,323.0,Fire,Ground,460.0,70.0,100.0,70.0,105.0,75.0,40.0,3.0,False
116,Carbink,6.551,207.3,58.3,1467,Rock Throw,Rock Slide,703.0,Rock,Fairy,500.0,50.0,50.0,150.0,50.0,150.0,50.0,6.0,False
117,Carkol,7.608,186.2,82.0,1512,Smack Down,Rock Slide,,,,,,,,,,,,
118,Carnivine,13.371,271.8,649.7,2159,Vine Whip,Power Whip,455.0,Grass,,454.0,74.0,100.0,72.0,90.0,72.0,46.0,4.0,False
119,Carracosta,12.557,358.4,709.5,2621,Rock Throw,Surf,565.0,Water,Rock,495.0,74.0,108.0,133.0,83.0,65.0,32.0,5.0,False
120,Carvanha,12.012,64.4,111.6,1020,Bite,Return,318.0,Water,Dark,305.0,45.0,90.0,20.0,65.0,20.0,65.0,3.0,False
121,Cascoon,3.174,30.8,1.0,553,Bug Bite,Struggle,268.0,Bug,,205.0,50.0,35.0,55.0,25.0,25.0,15.0,3.0,False
122,Castform,9.908,198.0,192.6,1632,Tackle,Weather Ball,351.0,Normal,,420.0,70.0,70.0,70.0,70.0,70.0,70.0,3.0,False
123,Castform (Rainy),9.908,198.0,192.6,1632,Water Gun,Weather Ball Water,,,,,,,,,,,,
124,Castform (Snowy),9.507,190.0,163.2,1632,Powder Snow,Weather Ball Ice,,,,,,,,,,,,
125,Castform (Sunny),9.572,191.3,167.7,1632,Ember,Weather Ball Fire,,,,,,,,,,,,
126,Caterpie,2.978,20.7,0.5,437,Bug Bite,Struggle,10.0,Bug,,195.0,45.0,30.0,35.0,20.0,20.0,45.0,1.0,False
127,Caterpie,2.978,20.7,0.5,437,Tackle,Struggle,10.0,Bug,,195.0,45.0,30.0,35.0,20.0,20.0,45.0,1.0,False
128,Celebi,14.067,527.1,1467.2,3265,Magical Leaf,Psychic,251.0,Psychic,Grass,600.0,100.0,100.0,100.0,100.0,100.0,100.0,2.0,False
129,Celesteela,12.529,435.4,856.3,3102,Air Slash,Heavy Slam,,,,,,,,,,,,
130,Centiskorch,14.135,407.3,1150.1,2990,Bug Bite,Bug Buzz,,,,,,,,,,,,
131,Chandelure,18.372,427.0,2647.6,3268,Fire Spin,Shadow Ball,609.0,Ghost,Fire,520.0,60.0,55.0,90.0,145.0,90.0,80.0,5.0,False
132,Chansey,5.171,257.6,35.6,1255,Pound,Hyper Beam,113.0,Normal,,450.0,250.0,5.0,5.0,35.0,105.0,50.0,1.0,False
133,Charizard,15.875,416.3,1665.4,2889,Fire Spin,Blast Burn,6.0,Fire,Flying,534.0,78.0,84.0,78.0,109.0,85.0,100.0,1.0,False
134,Charjabug,9.583,192.0,168.9,1697,Bug Bite,Discharge,,,,,,,,,,,,
135,Charmander,7.529,75.0,32.0,980,Scratch,Flamethrower,4.0,Fire,,309.0,39.0,52.0,43.0,60.0,50.0,65.0,1.0,False
136,Charmeleon,10.616,172.4,206.3,1653,Fire Fang,Flamethrower,5.0,Fire,,405.0,58.0,64.0,58.0,80.0,65.0,80.0,1.0,False
137,Chatot,12.968,188.9,412.0,1791,Peck,Sky Attack,441.0,Normal,Flying,411.0,76.0,65.0,45.0,92.0,42.0,91.0,4.0,False
138,Cherrim (Overcast Form),10.965,239.1,315.2,2048,Razor Leaf,Solar Beam,,,,,,,,,,,,
139,Cherrim (Sunshine Form),10.965,239.1,315.2,2048,Razor Leaf,Solar Beam,,,,,,,,,,,,
140,Cherubi,7.062,75.0,26.4,950,Tackle,Seed Bomb,420.0,Grass,,275.0,45.0,35.0,45.0,62.0,53.0,35.0,4.0,False
141,Chesnaught,13.497,449.2,1104.4,2954,Vine Whip,Solar Beam,652.0,Grass,Fighting,530.0,88.0,107.0,122.0,74.0,75.0,64.0,6.0,False
142,Chespin,7.627,104.4,46.3,1096,Vine Whip,Seed Bomb,650.0,Grass,,313.0,56.0,61.0,65.0,48.0,45.0,38.0,6.0,False
143,Chewtle,8.173,86.2,47.1,993,Water Gun,Surf,,,,,,,,,,,,
144,Chikorita,7.279,99.0,38.2,935,Vine Whip,Grass Knot,152.0,Grass,,318.0,45.0,49.0,65.0,49.0,65.0,45.0,2.0,False
145,Chimchar,7.461,74.3,30.8,957,Scratch,Flamethrower,390.0,Fire,,309.0,44.0,58.0,44.0,58.0,44.0,61.0,4.0,False
146,Chimecho,10.858,273.2,349.7,2259,Extrasensory,Shadow Ball,358.0,Psychic,,425.0,65.0,50.0,70.0,95.0,80.0,65.0,3.0,False
147,Chinchou,7.63,116.2,51.6,1119,Spark,Thunderbolt,170.0,Water,Electric,330.0,75.0,38.0,38.0,56.0,56.0,67.0,2.0,False
148,Chingling,7.386,79.9,32.2,1005,Zen Headbutt,Shadow Ball,433.0,Psychic,,285.0,45.0,30.0,50.0,65.0,50.0,45.0,4.0,False
149,Cinccino,12.873,253.9,541.6,2242,Pound,Hyper Beam,573.0,Normal,,470.0,75.0,95.0,60.0,65.0,60.0,115.0,5.0,False
150,Cinderace,13.903,352.1,946.2,3018,Ember,Flamethrower,,,,,,,,,,,,
151,Clamperl,7.588,99.5,43.5,1270,Water Gun,Ice Beam,366.0,Water,,345.0,35.0,64.0,85.0,74.0,55.0,32.0,3.0,False
152,Clauncher,8.697,121.1,79.7,1088,Water Gun,Crabhammer,692.0,Water,,330.0,50.0,53.0,62.0,58.0,63.0,44.0,6.0,False
153,Clawitzer,15.736,383.9,1495.9,2763,Water Gun,Crabhammer,693.0,Water,,500.0,71.0,73.0,88.0,120.0,89.0,59.0,6.0,False
154,Claydol,9.508,273.7,235.3,1971,Confusion,Psychic,344.0,Ground,Psychic,500.0,60.0,70.0,105.0,70.0,120.0,75.0,3.0,False
155,Clefable,11.728,332.8,536.9,2437,Charm,Meteor Mash,36.0,Fairy,,483.0,95.0,70.0,73.0,95.0,90.0,60.0,1.0,False
156,Clefairy,6.618,105.6,30.6,1155,Pound,Moonblast,35.0,Fairy,,323.0,70.0,45.0,48.0,60.0,65.0,35.0,1.0,False
157,Cleffa,5.446,54.0,8.7,671,Pound,Grass Knot,173.0,Fairy,,218.0,50.0,25.0,28.0,45.0,55.0,15.0,2.0,False
158,Clobbopus,7.754,96.5,45.0,1137,Rock Smash,Superpower,,,,,,,,,,,,
159,Cloyster,11.858,339.0,565.1,2547,Frost Breath,Avalanche,91.0,Water,Ice,525.0,50.0,95.0,180.0,85.0,45.0,70.0,1.0,False
160,Coalossal,9.348,355.1,290.0,2352,Smack Down,Rock Slide,,,,,,,,,,,,
161,Cobalion,14.598,553.7,1722.5,3022,Double Kick,Sacred Sword,638.0,Steel,Fighting,580.0,91.0,90.0,129.0,90.0,72.0,108.0,5.0,True
162,Cofagrigus,11.505,334.0,508.7,2273,Shadow Claw,Shadow Ball,563.0,Ghost,,483.0,58.0,50.0,145.0,95.0,105.0,30.0,5.0,False
163,Combee,4.8,38.2,4.2,494,Bug Bite,Bug Buzz,415.0,Bug,Flying,244.0,30.0,30.0,42.0,30.0,42.0,70.0,4.0,False
164,Combusken,10.041,154.0,155.9,1652,Ember,Flamethrower,256.0,Fire,Fighting,405.0,60.0,85.0,60.0,85.0,60.0,55.0,3.0,False
165,Comfey,9.728,239.1,220.1,2115,Vine Whip,Grass Knot,,,,,,,,,,,,
166,Conkeldurr,16.852,501.7,2401.1,3337,Counter,Dynamic Punch,534.0,Fighting,,505.0,105.0,140.0,95.0,55.0,65.0,45.0,5.0,False
167,Copperajah,13.539,368.3,913.9,2980,Tackle,Heavy Slam,,,,,,,,,,,,
168,Corphish,8.131,90.1,48.4,1230,Bubble,Bubble Beam,341.0,Water,,308.0,43.0,80.0,65.0,50.0,35.0,35.0,3.0,False
169,Corsola,7.44,142.1,58.5,1378,Bubble,Power Gem,222.0,Water,Rock,380.0,55.0,55.0,85.0,65.0,85.0,35.0,2.0,False
170,Corviknight,11.715,397.1,638.5,2457,Steel Wing,Brave Bird,,,,,,,,,,,,
171,Corvisquire,8.898,142.0,100.0,1363,Air Slash,Drill Peck,,,,,,,,,,,,
172,Cosmoem,1.557,38.9,0.1,817,Splash,Struggle,,,,,,,,,,,,
173,Cosmog,1.853,13.0,0.1,432,Splash,Struggle,,,,,,,,,,,,
174,Cottonee,5.619,66.3,11.8,700,Razor Leaf,Grass Knot,546.0,Grass,Fairy,280.0,40.0,27.0,60.0,37.0,50.0,66.0,5.0,False
175,Crabominable,14.393,357.6,1066.2,2907,Rock Smash,Crabhammer,,,,,,,,,,,,
176,Crabrawler,9.695,117.7,107.2,1363,Rock Smash,Crabhammer,,,,,,,,,,,,
177,Cradily,10.131,315.9,328.5,2211,Acid,Grass Knot,346.0,Rock,Grass,495.0,86.0,81.0,97.0,81.0,107.0,43.0,3.0,False
178,Cramorant,12.442,287.4,553.6,2142,Water Gun,Fly,,,,,,,,,,,,
179,Cranidos,12.087,131.3,231.8,1820,Zen Headbutt,Ancient Power,408.0,Rock,,350.0,67.0,125.0,40.0,30.0,30.0,58.0,4.0,False
180,Crawdaunt,17.116,326.3,1636.4,2474,Snarl,Crabhammer,342.0,Water,Dark,468.0,63.0,120.0,85.0,90.0,55.0,55.0,3.0,False
181,Cresselia,9.73,506.9,467.0,2857,Confusion,Future Sight,488.0,Psychic,,600.0,120.0,70.0,120.0,75.0,130.0,85.0,4.0,False
182,Croagunk,8.716,82.0,54.3,952,Poison Jab,Sludge Bomb,453.0,Poison,Fighting,300.0,48.0,61.0,40.0,61.0,40.0,50.0,4.0,False
183,Crobat,12.447,355.1,684.7,2646,Air Slash,Sludge Bomb,169.0,Poison,Flying,535.0,85.0,90.0,80.0,70.0,80.0,130.0,2.0,False
184,Croconaw,9.254,179.5,142.2,1722,Water Gun,Return,159.0,Water,,405.0,65.0,80.0,80.0,59.0,63.0,58.0,2.0,False
185,Crustle,11.845,330.5,549.2,2542,Fury Cutter,Rock Slide,558.0,Bug,Rock,475.0,70.0,95.0,125.0,65.0,75.0,45.0,5.0,False
186,Cryogonal,10.821,358.7,454.4,2798,Frost Breath,Solar Beam,615.0,Ice,,485.0,70.0,50.0,30.0,95.0,135.0,105.0,5.0,False
187,Cubchoo,8.014,79.7,41.0,1069,Charm,Ice Punch,613.0,Ice,,305.0,55.0,70.0,40.0,60.0,40.0,40.0,5.0,False
188,Cubone,6.167,103.4,24.3,1019,Mud Slap,Return,104.0,Ground,,320.0,50.0,50.0,95.0,40.0,50.0,35.0,1.0,False
189,Cufant,8.5,119.4,73.3,1377,Tackle,Iron Head,,,,,,,,,,,,
190,Cursola,16.71,388.4,1812.2,3063,Hex,Shadow Ball,,,,,,,,,,,,
191,Cutiefly,7.431,66.8,27.4,888,Struggle Bug,Dazzling Gleam,,,,,,,,,,,,
192,Cyndaquil,7.454,74.3,30.8,980,Ember,Flamethrower,155.0,Fire,,309.0,39.0,52.0,43.0,60.0,50.0,65.0,2.0,False
193,Darkrai,17.281,477.7,2465.3,3739,Snarl,Shadow Ball,491.0,Dark,,600.0,70.0,90.0,90.0,135.0,90.0,125.0,4.0,True
194,Darmanitan,17.742,393.9,2199.9,3105,Fire Fang,Overheat,555.0,Fire,,480.0,105.0,140.0,55.0,30.0,55.0,95.0,5.0,False
195,Darmanitan (Zen Mode),16.372,611.5,2683.5,3738,Fire Fang,Psychic,555.0,Fire,Psychic,540.0,105.0,30.0,105.0,140.0,105.0,55.0,5.0,False
